USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
Zeptimus#3359,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,325.9738158675833,27.132794113339145,156.0,28.424067555555556,381.53067753647804
Vitor Marthendal#0090,missing user address,353.4435194519302,0.0,0.0,0.0,353.4435194519302
natesuits#4789,missing user address,351.6122058796404,0.0,0.0,0.0,351.6122058796404
iviangita#3204,missing user address,311.9337451466949,0.0,0.0,0.0,311.9337451466949
chuygarcia.eth#6692,missing user address,310.712869431835,0.0,0.0,0.0,310.712869431835
"griff (💜, 💜)#8888",missing user address,275.9179115583289,0.0,0.0,0.0,275.9179115583289
divine_comedian#5493,0x320c338bcf70baaae26e96201c33b48105bc62c2,220.9785043896351,31.307070130775934,180.0,0.0,252.28557452041105
Mount Manu#3530,0xa2ef65aececb83cd1bd3579a8669779099317952,220.36806653220518,31.307070130775934,180.0,0.0,251.67513666298112
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,229.52463439365414,0.0,0.0,0.0,229.52463439365414
karmaticacid#1218,missing user address,227.69332082136435,0.0,0.0,0.0,227.69332082136435
markop#2007,missing user address,170.31216222295083,0.0,0.0,0.0,170.31216222295083
Juankbell#7458,missing user address,166.0390972209413,0.0,0.0,0.0,166.0390972209413
Tam2140#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,125.1397607731359,31.307070130775934,180.0,0.0,156.44683090391183
Dan Knobelsdorf#326,missing user address,146.5050857831835,0.0,0.0,0.0,146.5050857831835
Suga#8514,missing user address,141.62158292374406,0.0,0.0,0.0,141.62158292374406
acidlazzer#5796,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,102.55356004822845,31.307070130775934,180.0,0.0,133.86063017900437
Nuggan#5183,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,103.16399790565838,0.0,0.0,28.424067555555556,131.58806546121394
anna-marie#8824,missing user address,129.41282577514542,0.0,0.0,0.0,129.41282577514542
pKrepe#5682,missing user address,122.69800934341619,0.0,0.0,0.0,122.69800934341619
eduardovegap#0422,0x1d921dff757610fbdb0073479e12c0a07d382677,83.62998646790058,31.307070130775934,180.0,0.0,114.93705659867652
fabiomendes#4802,missing user address,102.55356004822845,0.0,0.0,0.0,102.55356004822845
elessar.eth#7945,missing user address,100.11180861850872,0.0,0.0,0.0,100.11180861850872
sem  🐝#0161,missing user address,98.28049504621893,0.0,0.0,0.0,98.28049504621893
David (please DYOR...)#4116,missing user address,95.83874361649922,0.0,0.0,0.0,95.83874361649922
akrtws (TE Academy)#4246,missing user address,88.51348932734003,0.0,0.0,0.0,88.51348932734003
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,4.88350285943945,31.307070130775934,180.0,28.424067555555556,64.61464054577094
Kris#8703,missing user address,64.09597503014278,0.0,0.0,0.0,64.09597503014278
ZER8🧠#9093,missing user address,64.09597503014278,0.0,0.0,0.0,64.09597503014278
JessicaZartler#2263,missing user address,64.09597503014278,0.0,0.0,0.0,64.09597503014278
ALOYSIOUS#3049,missing user address,56.16028288355368,0.0,0.0,0.0,56.16028288355368
AmwFund#0979,0x536c7e8f18d09d04697e0d2624b44bba575388c2,24.41751429719725,31.307070130775934,180.0,0.0,55.724584427973184
Vyvy-vi#5040,0x2fa130927814b590623031e846f059df9554fdde,21.975762867477524,31.307070130775934,180.0,0.0,53.282832998253454
🐙 octopus#5508,missing user address,53.10809359640402,0.0,0.0,0.0,53.10809359640402
shawn#7046,0xc68e8827fc1dd3b2bc94ca8b0228268f16dd6cf6,50.66634216668429,0.0,0.0,0.0,50.66634216668429
santigs#9769,missing user address,50.05590430925436,0.0,0.0,0.0,50.05590430925436
mheuer#9922,missing user address,49.44546645182443,0.0,0.0,0.0,49.44546645182443
durgadas#9280,missing user address,46.39327716467477,0.0,0.0,0.0,46.39327716467477
freshelle#9882,missing user address,43.95152573495505,0.0,0.0,0.0,43.95152573495505
Caeser (PST)#0046,missing user address,40.899336447805396,0.0,0.0,0.0,40.899336447805396
